,Epsilon
2025-06-27,-0.01264146211763817
2025-06-30,0.028286477547666222
2025-07-01,-0.003972557277181266
2025-07-02,0.016543108947887686
2025-07-03,-0.0003617167958637202
2025-07-04,0.021710479635319357
2025-07-07,0.005830658952090784
2025-07-08,0.00865825198184178
2025-07-09,0.009796947889627039
2025-07-10,0.01791493974927938
2025-07-11,-0.007061072115202571
2025-07-14,-0.02624638989082373
2025-07-15,-0.006852064195903118
2025-07-16,0.00040499382663716776
2025-07-17,0.01657570280390419
2025-07-18,-0.0002210603829605473
2025-07-21,-0.025329711419476486
2025-07-22,-0.0016354950780034239
2025-07-23,-0.0032119576324545207
2025-07-24,0.006542913428489339
2025-07-25,-0.009455943823213242
2025-07-28,-0.009142609535592205
2025-07-29,0.0005688383424974353
2025-07-30,-0.00846544585932052
2025-07-31,-0.0018444219962098218
2025-08-01,0.016986655523010485
2025-08-04,-0.018435754083784617
2025-08-05,0.005353952831129827
2025-08-06,0.009119753848430445
2025-08-07,-0.012086881054241827
2025-08-08,-0.0031642564879801327
2025-08-11,-0.0017078001685637556
2025-08-12,0.004584659687293824
2025-08-13,-0.009649355753740707
2025-08-14,0.012395581907446496
2025-08-15,0.018592825337863994
2025-08-18,-0.012137330762498122
2025-08-19,0.009382332316223652
2025-08-20,0.006340460399988035
2025-08-21,0.00971732109283785
2025-08-22,-0.013372363297153966
2025-08-25,0.043119825905724496
2025-08-26,0.03463882945571772
2025-08-27,0.05254853211930566
2025-08-28,-0.04989525259519734
2025-08-29,0.014399134125045898
2025-09-01,-0.00265522815781305
2025-09-02,0.00921719270580934
2025-09-03,0.006960131366267719
2025-09-04,-0.026086279563693582
2025-09-05,0.020386368211154138
2025-09-08,-0.01771029050829187
2025-09-09,0.037906008120884405
2025-09-10,0.002756158397520525
2025-09-11,-0.00851623883829844
2025-09-12,-0.0039123730196182205
2025-09-15,0.0015257261253350807
2025-09-16,0.006052922032636743
2025-09-17,0.01636917760143697
2025-09-18,0.013739310303013896
2025-09-19,-0.014950731305159448
2025-09-22,0.003941618644959788
2025-09-23,0.0018392277510825839
2025-09-24,0.010071127549460712
2025-09-25,0.014316020614040803
2025-09-26,-0.01152772003455349
2025-09-29,0.005710290963628517
2025-09-30,-7.491817206084495e-05
2025-10-01,-0.006218422332000206
2025-10-02,0.012717779583897748
2025-10-03,-0.01066407450680762
2025-10-06,0.04454363685811591
2025-10-07,0.008511892918362518
2025-10-08,-0.018285446889424017
2025-10-09,-0.01522222921132843
2025-10-10,0.02225167815381246
2025-10-13,-0.006481020239808788
2025-10-14,-0.0469016469402358
2025-10-15,-0.014229756622017309
2025-10-16,-0.01744130589617998
2025-10-17,0.01678626562655572
2025-10-21,0.010363512146093101
2025-10-22,0.00035755255104108485
2025-10-23,0.006987338919778874
2025-10-24,0.006373106169875964
2025-10-27,-0.006974403741540014
2025-10-28,0.0030769035908640996
2025-10-29,-0.014349595907087953
2025-10-30,-0.0006182030845321984
2025-10-31,0.008603333991671569
2025-11-03,-0.0015165883435658278
2025-11-04,0.008108845390221386
2025-11-05,0.0056905728915681575
2025-11-06,-0.0012196701738496074
2025-11-07,0.008308016613869817
2025-11-10,-0.01588373979325175
2025-11-11,-0.008351017934688842
2025-11-12,-0.030747044414209945
2025-11-13,-0.0013179521790054327
2025-11-14,0.00894799708313987
2025-11-17,0.0012388567233965198
2025-11-18,0.011623301857677348
2025-11-19,-0.008965577533257219
2025-11-20,0.022509382250139875
2025-11-21,0.0036218865052484173
2025-11-24,-0.024490723349982146
2025-11-25,-0.01322122034587836
2025-11-26,-0.016939103353044827
2025-11-27,0.010745102201232148
2025-11-28,-0.00943881377118172
2025-12-01,0.013236973406759778
2025-12-02,0.007352849825627672
2025-12-03,0.005828088484945093
2025-12-04,0.008379984738877244
2025-12-05,-0.02115878432708107
2025-12-08,-0.01026333972968585
2025-12-09,-0.009693239224325412
2025-12-10,0.018989244981458375
2025-12-11,-0.006677656560817646
2025-12-12,0.009160849817331118
2025-12-15,-8.833084543025116e-05
2025-12-16,-0.011565657359870696
2025-12-17,0.007588222293993363
2025-12-18,0.0036106066918247803
2025-12-19,0.014488632867732165
2025-12-22,0.0036350851981158394
2025-12-23,-0.01909950225504342
2025-12-29,0.00426155422814567
2025-12-30,0.009499110917069009
